"File","Change type","Batch","Expected","Decision"
"docs/batch-6-ipad-iphone-clusters/screenshots/ipad-hub-desktop.png","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/screenshots/ipad-safety-guide-mobile.png","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/screenshots/iphone-hub-desktop.png","Added","6","Batch 6 report","Include - expected release scope"
"docs/batch-6-ipad-iphone-clusters/screenshots/iphone-safety-guide-mobile.png","Added","6","Batch 6 report","Include - expected release scope"
"scripts/browser-qa.mjs","Modified","6.1","Regression QA","Include - expected release scope"
"scripts/check-redirect-chains.mjs","Modified","6.1","Regression QA","Include - expected release scope"
"scripts/check-vercel-redirect-match.mjs","Modified","6.1","Regression QA","Include - expected release scope"
"src/config/seo-policy.ts","Modified","6.1","Redirect correction","Include - expected release scope"
"src/config/service-clusters.ts","Modified","6","Cluster architecture","Include - expected release scope"
"src/content/areas/อุบลราชธานี.md","Modified","6.1","Legacy internal-link cleanup","Include - expected release scope"
"src/content/blog/ipad-ติด-icloud-ขายได้ไหม.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/blog/ราคา-iphone-มือสอง-2026.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-gopro-action-camera.md","Modified","6.1","Legacy internal-link cleanup","Include - expected release scope"
"src/content/services/รับซื้อ-ipad-air.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-ipad-gen.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-ipad-mini.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-ipad-เสีย.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-ipad.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-13.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-14.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-15.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-16.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-17.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-face-id-เสีย.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-pro-max.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-จอแตก.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-ติด-icloud.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone-เครื่องนอก.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อ-iphone.md","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"src/content/services/รับซื้อกล้อง-canon.md","Modified","6.1","Legacy internal-link cleanup","Include - expected release scope"
"src/content/services/รับซื้อกล้อง-fujifilm.md","Modified","6/6.1","Release scope","Include - expected release scope"
"src/content/services/รับซื้อกล้อง-mirrorless.md","Modified","6/6.1","Release scope","Include - expected release scope"
"src/content/services/รับซื้อกล้อง-nikon.md","Modified","6.1","Legacy internal-link cleanup","Include - expected release scope"
"src/content/services/รับซื้อกล้อง-sony.md","Modified","6.1","Legacy internal-link cleanup","Include - expected release scope"
"src/content/services/รับซื้อกล้องฟิล์ม.md","Modified","6/6.1","Release scope","Include - expected release scope"
"src/content/services/รับซื้อกล้องเสีย.md","Modified","6/6.1","Release scope","Include - expected release scope"
"src/content/services/รับซื้อเลนส์กล้อง.md","Modified","6/6.1","Release scope","Include - expected release scope"
"src/layouts/ServiceLayout.astro","Modified","6","iPad/iPhone cluster","Include - expected release scope"
"vercel.json","Modified","6.1","Redirect correction","Include - expected release scope"
