URL,Category,Status,Canonical,Published,Updated,Lastmod,Source field,Schema datePublished,Schema dateModified,Result
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,Area,200,https://amphon.co.th/พื้นที่ให้บริการ/กาฬสินธุ์,2025-06-01,2026-07-27,2026-07-27,updated,,,PASS
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,Area,200,https://amphon.co.th/พื้นที่ให้บริการ/ขอนแก่น,2025-06-01,2026-07-27,2026-07-27,updated,,,PASS
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,Area,200,https://amphon.co.th/พื้นที่ให้บริการ/นครราชสีมา,2025-06-01,2026-07-27,2026-07-27,updated,,,PASS
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%AD%E0%B8%B8%E0%B8%94%E0%B8%A3%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,Area,200,https://amphon.co.th/พื้นที่ให้บริการ/อุดรธานี,2025-06-01,2026-07-27,2026-07-27,updated,,,PASS
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,Area,200,https://amphon.co.th/พื้นที่ให้บริการ/บุรีรัมย์,2025-06-01,2026-07-27,2026-07-27,updated,,,PASS
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,Area,200,https://amphon.co.th/พื้นที่ให้บริการ/อุบลราชธานี,2025-06-01,2026-05-30,2026-05-30,updated,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-iphone-13,Service,200,https://amphon.co.th/บริการ/รับซื้อ-iphone-13,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-iphone-14,Service,200,https://amphon.co.th/บริการ/รับซื้อ-iphone-14,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-iphone-15,Service,200,https://amphon.co.th/บริการ/รับซื้อ-iphone-15,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-ipad-air,Service,200,https://amphon.co.th/บริการ/รับซื้อ-ipad-air,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-macbook-m1,Service,200,https://amphon.co.th/บริการ/รับซื้อ-macbook-m1,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-macbook-%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2,Service,200,https://amphon.co.th/บริการ/รับซื้อ-macbook-เสีย,2026-06-14,,2026-06-14,date,,,PASS
https://amphon.co.th,Static/Hub,200,https://amphon.co.th,,,,,,,PASS
https://amphon.co.th/about,Static/Hub,200,https://amphon.co.th/about,,,,,,,PASS
https://amphon.co.th/blog,Static/Hub,200,https://amphon.co.th/blog,,,,,,,PASS
https://amphon.co.th/contact,Static/Hub,200,https://amphon.co.th/contact,,,,,,,PASS
https://amphon.co.th/privacy-policy,Static/Hub,200,https://amphon.co.th/privacy-policy,,,,,,,PASS
https://amphon.co.th/%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3,Static/Hub,200,https://amphon.co.th/พื้นที่ให้บริการ,,,,,,,PASS
https://amphon.co.th/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B9%84%E0%B8%AD%E0%B8%97%E0%B8%B5,Static/Hub,200,https://amphon.co.th/รับซื้อสินค้าไอที,,,,,,,PASS
https://amphon.co.th/%E0%B8%A7%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD,Static/Hub,200,https://amphon.co.th/วิธีการรับซื้อ,,,,,,,PASS
