url_a,url_b,group_id,normalized_similarity,shared_word_percent,shared_sentence_percent,unique_sections_a,unique_sections_b,same_intent,same_entity,same_location,possible_duplicate,recommended_review
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","/รับซื้อ/รับซื้อของสะสม-นครพนม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-ขอนแก่น","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-นครพนม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-นครราชสีมา","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-บึงกาฬ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","/รับซื้อ/รับซื้อโดรน-นครพนม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","/รับซื้อ/รับซื้อโดรน-นครราชสีมา","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","/รับซื้อ/รับซื้อโดรน-บึงกาฬ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","/รับซื้อ/รับซื้อโดรน-นครพนม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","/รับซื้อ/รับซื้อโดรน-นครราชสีมา","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","/รับซื้อ/รับซื้อโดรน-บึงกาฬ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครพนม","/รับซื้อ/รับซื้อโดรน-นครราชสีมา","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครพนม","/รับซื้อ/รับซื้อโดรน-บึงกาฬ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครพนม","/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครพนม","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครราชสีมา","/รับซื้อ/รับซื้อโดรน-บึงกาฬ","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครราชสีมา","/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-นครราชสีมา","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-บึงกาฬ","/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-บึงกาฬ","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","/รับซื้อ/รับซื้อโดรน-มหาสารคาม","G-SA-รับซื้อโดรน","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-ขอนแก่น","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-นครพนม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-นครราชสีมา","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-บึงกาฬ","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-บุรีรัมย์","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","/รับซื้อ/รับซื้อทีวี-มหาสารคาม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","/รับซื้อ/รับซื้อทีวี-นครพนม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","/รับซื้อ/รับซื้อทีวี-นครราชสีมา","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","/รับซื้อ/รับซื้อทีวี-บึงกาฬ","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","/รับซื้อ/รับซื้อทีวี-บุรีรัมย์","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","/รับซื้อ/รับซื้อทีวี-มหาสารคาม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","/รับซื้อ/รับซื้อทีวี-นครพนม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","/รับซื้อ/รับซื้อทีวี-นครราชสีมา","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","/รับซื้อ/รับซื้อทีวี-บึงกาฬ","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","/รับซื้อ/รับซื้อทีวี-บุรีรัมย์","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","/รับซื้อ/รับซื้อทีวี-มหาสารคาม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-นครพนม","/รับซื้อ/รับซื้อทีวี-นครราชสีมา","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-นครพนม","/รับซื้อ/รับซื้อทีวี-บึงกาฬ","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-นครพนม","/รับซื้อ/รับซื้อทีวี-บุรีรัมย์","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
"/รับซื้อ/รับซื้อทีวี-นครพนม","/รับซื้อ/รับซื้อทีวี-มหาสารคาม","G-SA-รับซื้อทีวี","1.000","100%","n/a","low","low","yes","yes","no","yes-template-duplicate","merge-or-improve-family"
