url,primary_intent,closest_competing_url,competing_intent,title_overlap,h1_overlap,content_overlap,canonical_relationship,internal_anchor_overlap,gsc_evidence,cannibalization_risk,recommended_primary_url,decision_impact
"/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-เลย","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-สกลนคร","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-สุรินทร์","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-หนองคาย","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-หนองบัวลำภู","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-อำนาจเจริญ","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-อุดรธานี","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี","local-commercial","/บริการ/รับซื้อของสะสม","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อของสะสม","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ร้อยเอ็ด","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-เลย","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ศรีสะเกษ","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สกลนคร","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-สุรินทร์","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองคาย","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-หนองบัวลำภู","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อำนาจเจริญ","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุดรธานี","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี","local-commercial","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-กาฬสินธุ์","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-ขอนแก่น","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-ชัยภูมิ","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-นครพนม","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-นครราชสีมา","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-บึงกาฬ","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-บุรีรัมย์","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-มหาสารคาม","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-มุกดาหาร","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-ยโสธร","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-ร้อยเอ็ด","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-เลย","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-ศรีสะเกษ","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-สกลนคร","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-สุรินทร์","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-หนองคาย","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-หนองบัวลำภู","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-อำนาจเจริญ","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-อุดรธานี","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อโดรน-อุบลราชธานี","local-commercial","/บริการ/รับซื้อโดรน","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อโดรน","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-กาฬสินธุ์","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-ขอนแก่น","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-ชัยภูมิ","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-นครพนม","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-นครราชสีมา","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-บึงกาฬ","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-บุรีรัมย์","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-มหาสารคาม","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-มุกดาหาร","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-ยโสธร","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-ร้อยเอ็ด","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-เลย","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-ศรีสะเกษ","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-สกลนคร","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-สุรินทร์","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-หนองคาย","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-หนองบัวลำภู","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-อำนาจเจริญ","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-อุดรธานี","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อทีวี-อุบลราชธานี","local-commercial","/บริการ/รับซื้อทีวี","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อทีวี","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-กาฬสินธุ์","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-ขอนแก่น","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-ชัยภูมิ","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-นครพนม","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-นครราชสีมา","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-บึงกาฬ","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-บุรีรัมย์","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-มหาสารคาม","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-มุกดาหาร","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-ยโสธร","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-ร้อยเอ็ด","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-เลย","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-ศรีสะเกษ","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-สกลนคร","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-สุรินทร์","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-หนองคาย","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-หนองบัวลำภู","local-commercial","/บริการ/รับซื้อเฟอร์นิเจอร์","commercial-national","high-template","high-template","high-within-family","self","descriptive-province","GSC_NOT_AVAILABLE","medium","/บริการ/รับซื้อเฟอร์นิเจอร์","may-merge-or-improve"
