rule_id,source,destination,status_code,permanent,host_condition,query_preserved,unicode_source,encoded_source,external,source_file,rule_order,active,notes
R0035,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,35,yes,
R0036,/รับซื้อ/รับซื้อเลนส์-ขอนแก่น,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,36,yes,
R0037,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,37,yes,
R0038,/รับซื้อ/รับซื้อ-storage-nas-ขอนแก่น,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,38,yes,
R0039,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%82%E0%B8%AD%E0%B8%99%E0%B9%81%E0%B8%81%E0%B9%88%E0%B8%99,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,39,yes,
R0040,/รับซื้อ/รับซื้อ-hdd-ชัยภูมิ,/รับซื้อ/รับซื้อ-ssd-ชัยภูมิ,308,true,,default-false,unicode,no,no,vercel.json,40,yes,
R0041,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4,/รับซื้อ/รับซื้อ-ssd-ชัยภูมิ,308,true,,default-false,encoded,yes,no,vercel.json,41,yes,
R0042,/รับซื้อ/รับซื้อ-gopro-ชัยภูมิ,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,42,yes,
R0043,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,43,yes,
R0044,/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,44,yes,
R0045,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,45,yes,
R0046,/รับซื้อ/รับซื้อ-storage-nas-ชัยภูมิ,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,46,yes,
R0047,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A0%E0%B8%B9%E0%B8%A1%E0%B8%B4,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,47,yes,
R0048,/รับซื้อ/รับซื้อ-hdd-นครพนม,/รับซื้อ/รับซื้อ-ssd-นครพนม,308,true,,default-false,unicode,no,no,vercel.json,48,yes,
R0049,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,/รับซื้อ/รับซื้อ-ssd-นครพนม,308,true,,default-false,encoded,yes,no,vercel.json,49,yes,
R0050,/รับซื้อ/รับซื้อ-gopro-นครพนม,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,50,yes,
R0051,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,51,yes,
R0052,/รับซื้อ/รับซื้อเลนส์-นครพนม,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,52,yes,
R0053,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,53,yes,
R0054,/รับซื้อ/รับซื้อ-storage-nas-นครพนม,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,54,yes,
R0055,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,55,yes,
R0056,/รับซื้อ/รับซื้อ-hdd-นครราชสีมา,/รับซื้อ/รับซื้อ-ssd-นครราชสีมา,308,true,,default-false,unicode,no,no,vercel.json,56,yes,
R0057,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,/รับซื้อ/รับซื้อ-ssd-นครราชสีมา,308,true,,default-false,encoded,yes,no,vercel.json,57,yes,
R0058,/รับซื้อ/รับซื้อ-gopro-นครราชสีมา,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,58,yes,
R0059,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,59,yes,
R0060,/รับซื้อ/รับซื้อเลนส์-นครราชสีมา,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,60,yes,
R0061,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,61,yes,
R0062,/รับซื้อ/รับซื้อ-storage-nas-นครราชสีมา,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,62,yes,
R0063,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%B5%E0%B8%A1%E0%B8%B2,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,63,yes,
R0064,/รับซื้อ/รับซื้อ-hdd-บึงกาฬ,/รับซื้อ/รับซื้อ-ssd-บึงกาฬ,308,true,,default-false,unicode,no,no,vercel.json,64,yes,
R0065,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,/รับซื้อ/รับซื้อ-ssd-บึงกาฬ,308,true,,default-false,encoded,yes,no,vercel.json,65,yes,
R0066,/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,66,yes,
R0067,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,67,yes,
R0068,/รับซื้อ/รับซื้อเลนส์-บึงกาฬ,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,68,yes,
R0069,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,69,yes,
R0070,/รับซื้อ/รับซื้อ-storage-nas-บึงกาฬ,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,70,yes,
R0071,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%9A%E0%B8%B6%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%AC,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,71,yes,
R0072,/รับซื้อ/รับซื้อ-hdd-บุรีรัมย์,/รับซื้อ/รับซื้อ-ssd-บุรีรัมย์,308,true,,default-false,unicode,no,no,vercel.json,72,yes,
R0073,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,/รับซื้อ/รับซื้อ-ssd-บุรีรัมย์,308,true,,default-false,encoded,yes,no,vercel.json,73,yes,
R0074,/รับซื้อ/รับซื้อ-gopro-บุรีรัมย์,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,74,yes,
R0075,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,75,yes,
R0076,/รับซื้อ/รับซื้อเลนส์-บุรีรัมย์,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,76,yes,
R0077,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,77,yes,
R0078,/รับซื้อ/รับซื้อ-storage-nas-บุรีรัมย์,/บริการ/รับซื้อ-nas,308,true,,default-false,unicode,no,no,vercel.json,78,yes,
R0079,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B8%A2%E0%B9%8C,/บริการ/รับซื้อ-nas,308,true,,default-false,encoded,yes,no,vercel.json,79,yes,
R0080,/รับซื้อ/รับซื้อ-hdd-มหาสารคาม,/รับซื้อ/รับซื้อ-ssd-มหาสารคาม,308,true,,default-false,unicode,no,no,vercel.json,80,yes,
R0081,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B2%E0%B8%A1,/รับซื้อ/รับซื้อ-ssd-มหาสารคาม,308,true,,default-false,encoded,yes,no,vercel.json,81,yes,
R0082,/รับซื้อ/รับซื้อ-gopro-มหาสารคาม,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,unicode,no,no,vercel.json,82,yes,
R0083,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B2%E0%B8%A1,/บริการ/รับซื้อ-gopro-action-camera,308,true,,default-false,encoded,yes,no,vercel.json,83,yes,
R0084,/รับซื้อ/รับซื้อเลนส์-มหาสารคาม,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,unicode,no,no,vercel.json,84,yes,
R0085,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B2%E0%B8%A1,/บริการ/รับซื้อเลนส์กล้อง,308,true,,default-false,encoded,yes,no,vercel.json,85,yes,
