url,page_type,business_value,content_quality,gsc_evidence,inbound_count,click_depth,thin_flag,cannibalization_risk,priority_class,recommended_action,reason
"/blog/กล้อง-fujifilm-รุ่นเก่า-ยังขายได้ไหม","blog-article","medium","ok","none","2","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/กล้อง-shutter-count-สูง-ขายได้ไหม","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน","blog-article","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/การ์ดจอเคยขุด-ขายได้ไหม-เช็กอย่างไร","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขาย-ipad-มือสอง-ต้องเช็กอะไรบ้าง","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง","blog-article","low","thin","none","3","","yes","low","DEFER_TO_F04","DEFER_TO_F04","thin content flagged in content-quality-audit"
"/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขายกล้อง-sony-มือสอง-ต้องเช็กอะไรบ้าง","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขายโทรศัพท์มือสองใกล้ฉัน","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ขายโน๊ตบุ๊คเก่าให้ได้ราคาดี-ต้องเช็กอะไรบ้าง","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ควรขายของไอทีตอนไหน-ให้ได้ราคาดีที่สุด","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/คอมบริษัทเก่า-ขายยังไง","blog-article","low","thin","none","1","","yes","low","DEFER_TO_F04","DEFER_TO_F04","thin content flagged in content-quality-audit"
"/blog/คอมบริษัทเก่า-ขายแบบไหนให้เคลียร์ง่าย","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/คอมเกมมิ่งมือสอง-ขายอย่างไรให้ได้ราคาดี","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/จอคอมมีเส้น-จุดดำ-ภาพกระพริบ-ขายได้ไหม","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร","blog-article","medium","ok","none","2","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ถ่ายรูปสินค้าไอทีให้ร้านประเมินราคาเร็ว","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","blog-article","low","thin","none","1","","yes","low","DEFER_TO_F04","DEFER_TO_F04","thin content flagged in content-quality-audit"
"/blog/ราคา-ipad-มือสอง-2026","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ราคา-iphone-มือสอง-2026","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ราคา-macbook-มือสอง-2026","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ร้านรับซื้อไอที-เช็กอะไรบ้างก่อนตีราคา","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ลบข้อมูลก่อนขาย-ทำยังไงให้กู้ไม่ได้","blog-article","medium","ok","none","1","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/ลำโพง-jbl-ของแท้ของปลอม-เช็กก่อนขาย","blog-article","medium","ok","none","2","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย","blog-article","medium","ok","none","2","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/วิธีเช็ก-battery-health-iphone-ก่อนขาย","blog-article","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง","blog-article","low","thin","none","2","","yes","low","DEFER_TO_F04","DEFER_TO_F04","thin content flagged in content-quality-audit"
"/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน","blog-article","medium","ok","none","8","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/วิธีเช็กสเปกคอมก่อนขาย","blog-article","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที","blog-article","low","thin","none","3","","yes","low","DEFER_TO_F04","DEFER_TO_F04","thin content flagged in content-quality-audit"
"/blog/เลนส์มีฝ้า-รา-ฝุ่น-โฟกัสเสีย-ขายได้ไหม","blog-article","medium","ok","none","2","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/แรมมือสองขายได้เท่าไหร่","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/โน๊ตบุ๊คเปิดไม่ติด-ขายได้ไหม","blog-article","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม","blog-article","low","thin","none","2","","yes","low","DEFER_TO_F04","DEFER_TO_F04","thin content flagged in content-quality-audit"
"/contact","contact-about","high","thin","none","1186","","yes","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/","homepage","high","ok","none","1186","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/privacy-policy","legal","low","thin","none","1186","","yes","low","KEEP_AS_IS","KEEP_AS_IS","core/supporting architecture candidate"
"/บริการ/รับซื้อ-acer-aspire","service-page","medium","ok","none","22","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-acer-nitro","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-acer-predator","service-page","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-airpods","service-page","medium","ok","none","35","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-apple","service-page","medium","ok","none","1186","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-apple-pencil","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-apple-watch","service-page","medium","ok","none","26","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-asus-expertbook","service-page","medium","ok","none","5","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-asus-tuf-gaming","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-asus-vivobook","service-page","medium","ok","none","22","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-cpu","service-page","medium","ok","none","18","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-dell-alienware","service-page","medium","ok","none","15","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-dell-g-series","service-page","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-dell-inspiron","service-page","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-dell-latitude","service-page","medium","ok","none","23","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-desktop-pc","service-page","medium","ok","none","9","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-gaming-pc","service-page","medium","ok","none","1186","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-gigabyte-aorus","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-gigabyte-g5-g6-g7","service-page","medium","ok","none","5","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-gigabyte-gaming-notebook","service-page","medium","ok","none","31","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-gopro-action-camera","service-page","medium","ok","none","11","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-hp-elitebook","service-page","medium","ok","none","23","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-hp-omen","service-page","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-hp-pavilion","service-page","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-hp-victus","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-imac","service-page","medium","ok","none","38","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-imac-mac-mini","service-page","medium","ok","none","15","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad","service-page","high","ok","none","70","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad-air","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad-gen","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad-mini","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad-pro","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad-จอแตก","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ipad-เสีย","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone","service-page","high","ok","none","1186","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-13","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-14","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-15","service-page","high","ok","none","12","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-16","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-17","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-face-id-เสีย","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-pro-max","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-จอแตก","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-ติด-icloud","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-iphone-เครื่องนอก","service-page","high","ok","none","11","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-jbl","service-page","medium","ok","none","32","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-lenovo-ideapad","service-page","medium","ok","none","3","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-lenovo-legion","service-page","medium","ok","none","48","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-lenovo-loq","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-lenovo-thinkpad","service-page","medium","ok","none","23","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-mac-mini","service-page","medium","ok","none","37","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook","service-page","high","ok","none","1186","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-air","service-page","high","ok","none","18","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-intel","service-page","high","ok","none","19","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-m1","service-page","high","ok","none","16","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-m2","service-page","high","ok","none","17","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-m3-m4","service-page","high","ok","none","16","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-pro","service-page","high","ok","none","17","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-จอแตก","service-page","high","ok","none","16","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-macbook-เสีย","service-page","high","ok","none","18","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-magic-keyboard-ipad","service-page","medium","ok","none","10","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-marshall","service-page","medium","ok","none","32","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-cyborg","service-page","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-katana","service-page","medium","ok","none","7","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-notebook","service-page","medium","ok","none","48","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-pulse-crosshair","service-page","medium","ok","none","4","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-raider","service-page","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-stealth","service-page","medium","ok","none","7","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-sword","service-page","medium","ok","none","5","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-thin","service-page","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-titan","service-page","medium","ok","none","5","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-msi-vector","service-page","medium","ok","none","7","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-nas","service-page","medium","ok","none","15","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-nintendo-switch","service-page","medium","ok","none","24","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-notebook-acer","service-page","medium","ok","none","22","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-notebook-asus","service-page","medium","ok","none","22","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-notebook-dell","service-page","medium","ok","none","15","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-notebook-hp","service-page","medium","ok","none","22","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-notebook-lenovo","service-page","medium","ok","none","5","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-pc-มือสอง","service-page","medium","ok","none","13","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-playstation","service-page","medium","ok","none","25","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-printer","service-page","medium","ok","none","14","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ram-ssd","service-page","medium","ok","none","8","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-rog-gaming-notebook","service-page","medium","ok","none","48","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-rog-strix","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-rog-zephyrus","service-page","medium","ok","none","27","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-server","service-page","medium","ok","none","34","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-server-network","service-page","medium","ok","none","15","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ssd","service-page","medium","ok","none","37","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-storage-nas","service-page","medium","ok","none","0","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-surface","service-page","medium","ok","none","25","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-ups","service-page","medium","ok","none","35","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อ-workstation","service-page","medium","ok","none","1186","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้อง","service-page","high","ok","none","47","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้อง-canon","service-page","medium","ok","none","31","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้อง-fujifilm","service-page","medium","ok","none","32","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้อง-mirrorless","service-page","medium","ok","none","12","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้อง-nikon","service-page","medium","ok","none","11","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้อง-sony","service-page","medium","ok","none","32","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้องฟิล์ม","service-page","medium","ok","none","21","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อกล้องเสีย","service-page","medium","ok","none","11","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อการ์ดจอ","service-page","medium","ok","none","45","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อของสะสม","service-page","medium","ok","none","31","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อของไอทีเสีย","service-page","medium","ok","none","39","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอม-3d-render","service-page","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอม-ai-deep-learning","service-page","medium","ok","none","9","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอม-cad-engineer","service-page","medium","ok","none","6","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมตัดต่อวิดีโอ","service-page","medium","ok","none","8","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมทำงานกราฟิก","service-page","medium","ok","none","8","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมบริษัท","service-page","high","ok","none","1186","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมบริษัทปิดกิจการ","service-page","medium","ok","none","14","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมประกอบ","service-page","medium","ok","none","37","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมพิวเตอร์","service-page","high","ok","none","60","","no","low","P1","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมพิวเตอร์ตั้งโต๊ะ","service-page","medium","ok","none","1186","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมยกล็อต","service-page","medium","ok","none","28","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมร้านเกม","service-page","medium","ok","none","26","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมสตรีมเกม","service-page","medium","ok","none","19","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมสำนักงาน","service-page","medium","ok","none","20","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมสเปกสูง","service-page","medium","ok","none","29","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
"/บริการ/รับซื้อคอมเกมมิ่ง","service-page","medium","ok","none","87","","no","low","P2","STRENGTHEN_SELECTIVE","core/supporting architecture candidate"
