url,source_file,component,asset,image_role,width_before,height_before,intrinsic_width,intrinsic_height,aspect_ratio_before,intrinsic_aspect_ratio,loading,fetchpriority,css_class,issue,expected_action,status
/บริการ/รับซื้อของสะสม,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-collectibles-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อของไอทีเสีย,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-e-waste-broken-it-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อคอมเสีย,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อจอเกมมิ่ง,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-gaming-monitor-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อซีพียู,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-cpu-intel-amd-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อทีวี,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-tivi-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อลำโพงบลูทูธ,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-bluetooth-speaker-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อหูฟัง,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-headphone-earbud-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้ออุปกรณ์คอมพิวเตอร์,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้ออุปกรณ์ไอที,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-it-gadget-accessories-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อเครื่องเกม,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-game-console-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-appliance-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อเฟอร์นิเจอร์,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-furniture-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อเมนบอร์ด,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-mainboard-motherboard-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อแท็บเล็ต,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อแรม,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-ram-ddr4-ddr5-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อโดรน,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-drone-dji-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อโทรศัพท์มือสอง,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อโทรศัพท์เสีย,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับซื้อโน๊ตบุ๊คเกมมิ่ง,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-gaming-notebook-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/บริการ/รับเหมาประมูลอุปกรณ์ไอที,src/content/services/*.md,markdown img via rehype,/images/services/rub-sue-it-auction-bidding-amphon.png,content,,,1024,1024,,1.0000,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
/รับซื้อ/รับซื้อคอมพิวเตอร์-อุบลราชธานี,src/content/serviceAreas/*.md,markdown img via rehype,/images/services/rub-sue-komputer-gaming-pc-amphon.webp,content,,,344,194,,1.7732,lazy (prose script / default),,,CONFIRMED MISSING DIMENSIONS,inject intrinsic width/height,FIXED
